block_height,elapsed_time
1369,1m0.230725883s
1370,51.470701026s
1371,3.018870444s
1372,16.965302504s
1373,1m2.059428072s
1374,4.491857939s
1375,2m9.278140962s
1376,59.434585425s
1377,5.288404934s
1378,11.51573262s
1379,21.771171827s
1380,50.846771134s
1381,17.856736838s
1382,5.381651549s
1383,10.540792309s
1384,1m13.678324932s
1385,15.843341353s
1386,53.369760845s
1387,15.947174263s
1388,4m57.400630648s
1389,27.820831237s
1390,1m9.002171582s
1391,214.163587ms
1392,36.929136128s
1393,1.653623137s
1394,4m0.561826518s
1395,1m6.040881171s
1396,43.598039491s
1397,3m8.563364026s
1398,1m11.498136954s
1399,24.689462965s
1400,31.024703067s
1401,27.368619387s
1402,13.78765784s
1403,1m6.482406379s
1404,35.006419738s
1405,42.398668534s
1406,57.830290018s
1407,1m30.568276284s
1408,1m18.13925877s
1409,1m4.43677525s
1410,1m21.028447829s
1411,2m49.782229287s
1412,1m8.277727193s
1413,11.304872622s
1414,21.168368925s
1415,9.383355021s
