block_height,elapsed_time
1360,5.956519572s
1361,4.004328139s
1362,17.32111611s
1363,343.040268ms
1364,50.086031222s
1365,1.588530539s
1366,25.997957027s
1367,303.262866ms
1368,20.216998693s
1369,2.745737316s
1370,45.547867595s
1371,8.69624341s
1372,39.870642071s
1373,4.187714857s
1374,7.715760186s
1375,29.17485199s
1376,13.331785275s
1377,15.039302034s
1378,1.94734292s
1379,23.146916615s
1380,14.722728779s
1381,19.924136306s
1382,3.223979363s
1383,4.943143425s
1384,5.466833423s
1385,6.134502524s
1386,12.695177226s
1387,27.685321466s
1388,16.814678201s
1389,23.659166906s
1390,11.9730978s
1391,23.141216096s
1392,32.898931107s
1393,14.897285691s
1394,8.568129913s
1395,16.146045422s
1396,5.137537041s
1397,2.636539037s
1398,6.565617062s
1399,660.433202ms
1400,20.869277228s
1401,34.708736194s
1402,3.44358851s
1403,2.692187879s
1404,861.5789ms
1405,18.331881394s
1406,23.478203586s
1407,27.983723476s
1408,14.237173444s
1409,5.63337466s
1410,128.924251ms
1411,15.329546855s
1412,11.470619869s
1413,529.008275ms
1414,22.507097967s
1415,7.037996514s
1416,1.047820921s
1417,2.861410046s
1418,27.825573965s
1419,16.170434172s
1420,4.940850603s
1421,22.344132631s
1422,42.236270644s
1423,11.947146616s
1424,12.587898071s
1425,18.229715013s
1426,4.745717564s
1427,5.816313905s
1428,414.010363ms
1429,33.065243961s
1430,3.263606965s
1431,6.132088018s
1432,4.07914355s
1433,7.322348704s
1434,10.077169901s
1435,28.963163963s
1436,6.221649429s
1437,28.359696258s
1438,3.035142025s
1439,4.606112322s
1440,27.929433391s
1441,1m23.050895901s
1442,10.476341566s
1443,26.50836013s
1444,1.435223093s
1445,13.062698776s
1446,11.347805197s
1447,8.043380606s
1448,19.820329908s
1449,518.59515ms
1450,33.01137788s
1451,30.672198622s
1452,7.477947ms
1453,978.232026ms
1454,16.546933293s
1455,3.608121506s
1456,43.297312039s
1457,360.533933ms
1458,9.790790352s
1459,1.915213068s
1460,41.296748934s
1461,11.07215168s
1462,7.06142566s
1463,17.277437282s
1464,12.393621109s
1465,59.910183993s
1466,17.077916489s
1467,125.34961ms
1468,26.994818498s
1469,11.047496472s
1470,18.504716878s
1471,5.09821017s
1472,2.090242642s
1473,13.67303526s
